 Epoch 18	 Fold: 1	 Accuracy: 61.419911476040795	 Loss: 0.7256218791007996
 Epoch 19	 Fold: 1	 Accuracy: 60.698248765154915	 Loss: 0.6891096234321594
 Epoch 20	 Fold: 1	 Accuracy: 58.65514144589133	 Loss: 0.6382402777671814
 Epoch 21	 Fold: 1	 Accuracy: 58.61665276797742	 Loss: 0.721821129322052
 Epoch 22	 Fold: 1	 Accuracy: 61.58829944191417	 Loss: 0.7670445442199707
 Epoch 23	 Fold: 1	 Accuracy: 59.98941561357368	 Loss: 0.6580694317817688
 Epoch 24	 Fold: 1	 Accuracy: 59.5676438514337	 Loss: 0.7800047397613525
 Epoch 25	 Fold: 1	 Accuracy: 62.7493745589839	 Loss: 0.8942322134971619
 Epoch 26	 Fold: 1	 Accuracy: 57.89659375200462	 Loss: 0.5047433972358704
 Epoch 27	 Fold: 1	 Accuracy: 57.853293989351464	 Loss: 0.852613627910614
 Epoch 28	 Fold: 1	 Accuracy: 59.60452883443454	 Loss: 0.7610493302345276
 Epoch 29	 Fold: 1	 Accuracy: 59.022387580986596	 Loss: 0.7819685339927673
 Epoch 30	 Fold: 1	 Accuracy: 57.71056514208737	 Loss: 0.5711451172828674
 Epoch 31	 Fold: 1	 Accuracy: 57.44274809160305	 Loss: 0.6113408207893372
 Epoch 32	 Fold: 1	 Accuracy: 57.375392905253705	 Loss: 0.8317232131958008
 Epoch 33	 Fold: 1	 Accuracy: 58.19808839566361	 Loss: 0.9563876986503601
 Epoch 34	 Fold: 1	 Accuracy: 57.45237026108153	 Loss: 1.001064658164978
 Epoch 35	 Fold: 1	 Accuracy: 56.2993136185772	 Loss: 0.8646204471588135
