 Epoch 0	 Fold: 0	 Accuracy: 58.43449813172539	 Loss: 2.9822239875793457
 Epoch 1	 Fold: 0	 Accuracy: 61.12224770274388	 Loss: 3.4664900302886963
 Epoch 2	 Fold: 0	 Accuracy: 62.49979954135061	 Loss: 1.6664559841156006
 Epoch 3	 Fold: 0	 Accuracy: 62.456500473082414	 Loss: 2.8515172004699707
 Epoch 4	 Fold: 0	 Accuracy: 62.94080857000818	 Loss: 1.6469358205795288
 Epoch 0	 Fold: 1	 Accuracy: 65.19180191160433	 Loss: 1.1852537393569946
 Epoch 1	 Fold: 1	 Accuracy: 64.63692347167874	 Loss: 0.6108980774879456
 Epoch 2	 Fold: 1	 Accuracy: 64.18628520110335	 Loss: 1.0603638887405396
 Epoch 3	 Fold: 1	 Accuracy: 63.57688113413304	 Loss: 0.3853049576282501
 Epoch 4	 Fold: 1	 Accuracy: 63.299441914170245	 Loss: 0.6818757653236389
 Epoch 0	 Fold: 2	 Accuracy: 66.34325485919558	 Loss: 1.0729451179504395
 Epoch 1	 Fold: 2	 Accuracy: 65.44518570787093	 Loss: 2.3066816329956055
 Epoch 2	 Fold: 2	 Accuracy: 64.79408557316056	 Loss: 3.2011730670928955
 Epoch 3	 Fold: 2	 Accuracy: 64.04836743857848	 Loss: 2.570679187774658
 Epoch 4	 Fold: 2	 Accuracy: 63.6987619475271	 Loss: 3.354384422302246
 Epoch 0	 Fold: 3	 Accuracy: 67.23490923086791	 Loss: 0.45740625262260437
 Epoch 1	 Fold: 3	 Accuracy: 66.58541279107062	 Loss: 0.703833281993866
 Epoch 2	 Fold: 3	 Accuracy: 65.07793957277568	 Loss: 0.24899448454380035
 Epoch 3	 Fold: 3	 Accuracy: 64.41721726858682	 Loss: 0.10689735412597656
 Epoch 4	 Fold: 3	 Accuracy: 64.42844313297839	 Loss: 0.8511098027229309
 Epoch 0	 Fold: 4	 Accuracy: 67.24934248508563	 Loss: 0.43549320101737976
 Epoch 1	 Fold: 4	 Accuracy: 66.51805760472128	 Loss: 0.5716344714164734
 Epoch 2	 Fold: 4	 Accuracy: 65.77554685996536	 Loss: 0.379339337348938
 Epoch 3	 Fold: 4	 Accuracy: 65.16453909808197	 Loss: 0.4961765706539154
 Epoch 4	 Fold: 4	 Accuracy: 64.29212906536661	 Loss: 0.2778707444667816
